state,sales,video_other_rev,online_sales,total_prizes,video_other_prize,scratch_draw_prize,online_prize,contributions,contribution_percent_ex_video,prize_percent,only_scratch_and_draw,year,year_type,checked after video fix,,link
NE,175.967,0,0,101.9,0,101.9,0,42.23208,24.00%,57.9%,,2018,Calender,x,,https://nelottery.com/homeapp/article/3909/display
NH,304.221,0,0,191.778,0,191.778,0,76.119,25.02%,63.0%,x,2017,Fiscal,x,,https://www.nhlottery.com/Files/PDFs/CAFR_17.aspx
NJ,3290,0,0,2002,0,2002,0,987,30.00%,60.9%,,2016,June,x,,https://www.njlottery.com/en-us/aboutus/givingback/reports.html
NM,126.041,0,0,67.184,0,67.184,,38.231,30.33%,53.3%,,2017,Fiscal,x,,https://www.nmlottery.com/annual-reports.aspx
NY,9974,2035,0,4800,,4800,,3370,30.30%,60%,,2018,Fiscal,x,,https://nylottery.ny.gov/news-and-finance/financial-reports
OH,4155,987,,1998,,1998,,1087,,63%,,2018,Fiscal,x,,https://www.ohiolottery.com/About/Index/Financial/Annual-Financial-Plan
OK,221.11,0,0,129.61,0,129.61,,63.979,28.94%,58.6%,x,2018,Fiscal,x,,https://www.lottery.ok.gov/about_us.asp
OR,1302.858,933.98,0,231.67,0,231.67,0,697.586,,62.8%,,2018,Fiscal,x,,https://oregonlottery.org/about/proceeds-and-financials
PA,4200.564,0,0,2706.909965,0,2706.909965,0,1162.046,28.16%,64.4%,x,2018,Fiscal,x,,https://www.palottery.state.pa.us/About-PA-Lottery/Annual-Economic-Reports.aspx
RI,887.018,627.203,,162.126,,162.126,,364.974,,62.4%,x,2018,Fiscal,x,,https://www.rilot.com/en-us/financials.html#CAFRReportsModal
SC,1635.7,0,0,1086.2,0,1086.2,,410.525548,25.43%,66.4%,x,2017,Fiscal,x,,https://dc.statelibrary.sc.gov/handle/10827/26083
SD,798.779,740.599,,553.653,519.974,33.68,,124.741,25.43%,57.9%,x,2018,Fiscal,x,,https://lottery.sd.gov/beneficiaries/reports/
TN,1611.905,0,,1064.232,0,1064.232,,386.697,23.99%,66.0%,,2017,Fiscal,x,,http://www.tnlottery.com/sites/default/files/2018-08/TEL_Audit_Report_2017.pdf
TX,5077.4,0,,3259.6908,0,3259.6908,,1309.9692,25.80%,64.2%,x,2017,Fiscal,x,,https://www.txlottery.org/export/sites/lottery/Documents/BusinessPlanAnnualReport2019.pdf
VA,1989.87,0,,1214.3,0,1214.3,,558.314,28.06%,61.0%,,2017,Fiscal,x,,https://www.valottery.com/~/media/Images/Communications/annual_turnover/financial-report-2017.ashx
VT,122.37,0,,79.648,0,79.648,,25.501,20.84%,65.1%,x,2017,Fiscal,x,,https://vtlottery.com/sites/default/files/pdf/17annual.pdf
WA,733.9,0,,457.9,0,457.9,,182.97,24.93%,62.4%,x,2018,Fiscal,x,,https://www.walottery.com/About/AnnualReports.aspx
WI,574.6,0,,342.4,0,342.4,,166.4,28.96%,59.6%,x,2015,Fiscal,x,,https://wilottery.com/about.aspx
WV,1079.517,913.018,,98.186,0,98.186,,491.35,,59.0%,,2017,Fiscal,x,,http://www.wvlottery.com/assets/pdf/reports/WVL2017AR.pdf
WY,25,0,,14,0,14,,2.6,10.40%,56.0%,,2017,Fiscal,x,,https://www.wyofile.com/lottery-payment-state-salaries/
MS,0,,,,,,,,,#DIV/0!,,,,,,
UT,0,,,,,,,,,#DIV/0!,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
